year,sim,b,r,g,r_av,s,c,label,rg,slope,curvature,interest_share
2,11,0.999976838,0.011881039,0.018351935,0.010376208,-0.041939412,0,irresponsible,-0.006470896,0.03173653,-0.003390133,0.010019266
3,11,1.02907306,0.018759767,0.02645978,0.01205292,-0.043131381,0,irresponsible,-0.007700012,0.027596571,-0.009448868,0.012052641
4,11,1.055169979,0.023131589,0.021444363,0.014268654,-0.03332622,0,irresponsible,0.001687226,0.012838794,-0.005427746,0.014683487
5,11,1.054750648,0.015201121,0.024313642,0.014455147,-0.00973614,0,irresponsible,-0.009112522,0.01674108,0.007026654,0.015252637
6,11,1.088652139,0.019854925,0.026980586,0.015535103,-0.045656466,0,irresponsible,-0.007125661,0.026892103,0.000713098,0.016385659
7,11,1.108534853,0.017812122,0.02478161,0.015990506,-0.029221732,0,irresponsible,-0.006969488,0.018167275,-0.005659381,0.017408099
8,11,1.124986689,0.016645587,0.027859149,0.016121522,-0.029110739,0,irresponsible,-0.011213563,0.01557334,-0.002599879,0.017871269
9,11,1.139681533,0.021538456,0.030882038,0.017204909,-0.029620497,0,irresponsible,-0.009343582,0.012967517,-0.002166575,0.019355294
10,11,1.150921722,0.029379838,0.041531449,0.019639895,-0.035194723,0,irresponsible,-0.012151611,0.01124019,-0.001727327,0.022383225
1,12,0.9656,0.01,0.024182326,0.01,-0.042249344,0,irresponsible,-0.014182326,0.047225513,-0.002943797,0.009656
2,12,1.012825513,0.017909024,0.01695006,0.011581805,-0.052322703,0,irresponsible,0.000958964,0.044281716,-0.004084783,0.011183391
3,12,1.054163432,0.029126453,0.016848713,0.015090734,-0.043088943,0,irresponsible,0.012277739,0.039055948,-0.002386498,0.015284281
4,12,1.090937408,0.029144635,0.011350835,0.017901514,-0.029945993,0,irresponsible,0.017793799,0.03950872,-0.001285726,0.018871122
5,12,1.133180872,0.025520826,0.011826095,0.019425377,-0.034050019,0,irresponsible,0.013694731,0.036484496,-2.72E-05,0.02119187
