date,interest_rate,debt_held_by_public,gdp_growth_rate,b_lag1,gross_interest
1999-10-01,0.0314292186,37.52998,0.067,37.86248,1.115265380185687
1999-11-01,0.0314725353,,,,
1999-12-01,0.031922035,,,,
2000-01-01,0.0341105112,36.87171,0.015,37.52998,1.2612480818973164
2000-02-01,0.035133433900000004,,,,
2000-03-01,0.0344034736,,,,
2000-04-01,0.0320296665,34.1121,0.075,36.87171,1.0985940228695024
2000-05-01,0.033605311,,,,
2000-06-01,0.031278929,,,,
2000-07-01,0.0306235485,33.32391,0.004,34.1121,1.0404716621382968
2000-08-01,0.0304561328,,,,
2000-09-01,0.028859961799999997,,,,
2000-10-01,0.028766255900000003,32.71009,0.024,33.32391,0.9361368385239931
2000-11-01,0.0283313793,,,,
2000-12-01,0.0263921042,,,,
2001-01-01,0.022514329399999998,32.80143,-0.013000000000000001,32.71009,0.7461456342083546
2001-02-01,0.022670139800000003,,,,
2001-03-01,0.022672947300000003,,,,
2001-04-01,0.022209839100000003,30.89137,0.025,32.80143,0.7107458366340617
2001-05-01,0.0243341797,,,,
2001-06-01,0.025264560199999998,,,,
2001-07-01,0.025283674399999997,31.50312,-0.016,30.89137,0.7937472976117154
2001-08-01,0.0233436142,,,,
2001-09-01,0.0217776797,,,,
2001-10-01,0.0198693245,31.83499,0.011000000000000001,31.50312,0.6191352265503858
2001-11-01,0.0181476553,,,,
2001-12-01,0.020405763,,,,
2002-01-01,0.025234999600000002,31.93466,0.034,31.83499,0.776939999918766
2002-02-01,0.0240007343,,,,
2002-03-01,0.024212901800000002,,,,
2002-04-01,0.027011263200000003,31.81223,0.025,31.93466,0.8415565916707436
2002-05-01,0.0235054993,,,,
2002-06-01,0.0231986391,,,,
2002-07-01,0.0214192855,32.34318,0.016,31.81223,0.6706646031118749
2002-08-01,0.0174226259,,,,
2002-09-01,0.0144610825,,,,
2002-10-01,0.0126869564,32.97389,0.005,32.34318,0.40829503930084776
2002-11-01,0.0139558681,,,,
2002-12-01,0.0169225366,,,,
2003-01-01,0.014882017400000001,33.20866,0.021,32.97389,0.4806248821994966
2003-02-01,0.014663790000000001,,,,
2003-03-01,0.0122359095,,,,
2003-04-01,0.0130961847,33.73427,0.036000000000000004,33.20866,0.4197941554049247
2003-05-01,0.0137072098,,,,
2003-06-01,0.009051157399999999,,,,
2003-07-01,0.0112868896,33.92545,0.068,33.73427,0.35651215470654685
2003-08-01,0.0175170446,,,,
2003-09-01,0.0189723825,,,,
2003-10-01,0.013808193600000001,34.35248,0.047,33.92545,0.4474204217451003
2003-11-01,0.0171390165,,,,
2003-12-01,0.0171357266,,,,
2004-01-01,0.0170195436,35.02902,0.023,34.35248,0.5715186032533021
2004-02-01,0.0157158074,,,,
2004-03-01,0.0147016466,,,,
2004-04-01,0.0135814941,34.82868,0.031,35.02902,0.4614417346835908
2004-05-01,0.0188324516,,,,
2004-06-01,0.0194657611,,,,
2004-07-01,0.0193379862,34.97163,0.038,34.82868,0.6488598585782428
2004-08-01,0.0185580269,,,,
2004-09-01,0.0148469164,,,,
2004-10-01,0.016871063,35.17424,0.040999999999999995,34.97163,0.566770963441585
2004-11-01,0.0160768876,,,,
2004-12-01,0.019095366199999998,,,,
2005-01-01,0.017792759000000002,35.81338,0.045,35.17424,0.5988964357207274
2005-02-01,0.018131591199999998,,,,
2005-03-01,0.0197934111,,,,
2005-04-01,0.0202052684,35.03637,0.02,35.81338,0.7094303482462667
2005-05-01,0.0178986568,,,,
2005-06-01,0.016668881099999998,,,,
2005-07-01,0.0182002108,35.01106,0.032,35.03637,0.6178966275841047
2005-08-01,0.0200821677,,,,
2005-09-01,0.0173569017,,,,
2005-10-01,0.0196704484,35.38378,0.022000000000000002,35.01106,0.6738583651265205
2005-11-01,0.0207568901,,,,
2005-12-01,0.0201834727,,,,
2006-01-01,0.0206484172,35.83165,0.055,35.38378,0.6925299066853233
2006-02-01,0.0220441278,,,,
2006-03-01,0.0238362088,,,,
2006-04-01,0.023583930299999997,34.88186,0.01,35.83165,0.8366842932019751
2006-05-01,0.0240637015,,,,
2006-06-01,0.0245080986,,,,
2006-07-01,0.0249634953,34.91811,0.006,34.88186,0.8655796701443917
2006-08-01,0.022982861,,,,
2006-09-01,0.022060571900000003,,,,
2006-10-01,0.0221206207,34.90998,0.035,34.91811,0.7462901129187218
2006-11-01,0.021998853999999998,,,,
2006-12-01,0.0212213778,,,,
2007-01-01,0.0214807579,35.55432,0.012,34.90998,0.7410008188476699
2007-02-01,0.0228715091,,,,
2007-03-01,0.020249864,,,,
2007-04-01,0.0207748685,34.32166,0.025,35.55432,0.7206208025433366
2007-05-01,0.020318442000000003,,,,
2007-06-01,0.022463097300000002,,,,
2007-07-01,0.0237357342,34.66906,0.023,34.32166,0.7963341144308623
2007-08-01,0.021338807700000004,,,,
2007-09-01,0.0194622258,,,,
2007-10-01,0.0198911422,34.90498,0.025,34.66906,0.6727875145369093
2007-11-01,0.018262471199999998,,,,
2007-12-01,0.0138696881,,,,
2008-01-01,0.0139949068,36.26991,-0.017,34.90498,0.4969399206061689
2008-02-01,0.0111112286,,,,
2008-03-01,0.0102522008,,,,
2008-04-01,0.0106289422,35.5518,0.024,36.26991,0.37647536815351756
2008-05-01,0.014005162900000001,,,,
2008-06-01,0.0148755401,,,,
2008-07-01,0.0144558109,39.02437,-0.021,35.5518,0.5249541347851072
2008-08-01,0.0135649733,,,,
2008-09-01,0.0123957472,,,,
2008-10-01,0.0148506331,43.62377,-0.085,39.02437,0.6333733342389584
2008-11-01,0.016316285399999998,,,,
2008-12-01,0.0097537985,,,,
2009-01-01,0.0093854104,47.37291,-0.045,43.62377,0.42871935564943253
2009-02-01,0.0103930649,,,,
2009-03-01,0.0125074177,,,,
2009-04-01,0.0071281967000000005,49.90158,-0.006999999999999999,47.37291,0.34006386780603926
2009-05-01,0.010174109,,,,
2009-06-01,0.013221055399999999,,,,
2009-07-01,0.012669028200000002,52.28458,0.013999999999999999,49.90158,0.6234758621741184
2009-08-01,0.0115904037,,,,
2009-09-01,0.0094923764,,,,
2009-10-01,0.0099714116,53.33579,0.044000000000000004,52.28458,0.49937841715816855
2009-11-01,0.0106141004,,,,
2009-12-01,0.008480405600000001,,,,
2010-01-01,0.0129792486,56.17657,0.019,53.33579,0.6793508122545575
2010-02-01,0.011245154100000002,,,,
2010-03-01,0.0099873153,,,,
2010-04-01,0.013091052999999998,57.67095,0.039,56.17657,0.707806020431386
2010-05-01,0.0122638786,,,,
2010-06-01,0.010193609800000001,,,,
2010-07-01,0.0084675907,59.62122,0.031,57.67095,0.47365082432605715
2010-08-01,0.0065616389,,,,
2010-09-01,0.0057706775,,,,
2010-10-01,0.0040880525,61.36991,0.021,59.62122,0.23872152543981393
2010-11-01,0.0033888955999999996,,,,
2010-12-01,0.0062620927,,,,
2011-01-01,0.0086397716,62.90334,-0.009000000000000001,61.36991,0.5350373415868375
2011-02-01,0.0082968718,,,,
2011-03-01,0.0087385088,,,,
2011-04-01,0.0097750283,62.65052,0.027000000000000003,62.90334,0.598716580978113
2011-05-01,0.007114748400000001,,,,
2011-06-01,0.0049226699,,,,
2011-07-01,0.0057395235,64.75106,-0.001,62.65052,0.3599440759031231
2011-08-01,0.0039497491,,,,
2011-09-01,0.0021493888,,,,
2011-10-01,0.0009856249,65.97861,0.046,64.75106,0.06101363005486997
2011-11-01,0.0013706953,,,,
2011-12-01,0.0014446830999999998,,,,
2012-01-01,0.0014610050999999998,67.68639,0.034,65.97861,0.09322542137418859
2012-02-01,0.00021851030000000001,,,,
2012-03-01,0.0016923690999999998,,,,
2012-04-01,0.0019464572999999998,68.16893,0.018000000000000002,67.68639,0.129419123699555
2012-05-01,-0.0008722198000000001,,,,
2012-06-01,-0.0004815105,,,,
2012-07-01,-0.0005482603,69.08525,0.006,68.16893,-0.037151409555148104
2012-08-01,-0.0006008478,,,,
2012-09-01,-0.0016925714,,,,
2012-10-01,-0.0009317224,70.5619,0.005,69.08525,-0.06404803476079603
2012-11-01,-5.7370499999999996e-05,,,,
2012-12-01,-0.0017237745,,,,
2013-01-01,0.0008440142000000001,71.61412,0.04,70.5619,0.05726465921055769
2013-02-01,0.0017210017999999998,,,,
2013-03-01,0.0005034072,,,,
2013-04-01,-0.00024211880000000002,71.17458,0.011000000000000001,71.61412,-0.0171504696315094
2013-05-01,-0.0001939123,,,,
2013-06-01,0.0022769375,,,,
2013-07-01,0.0054638104,70.66823,0.035,71.17458,0.37573372987404063
2013-08-01,0.0047506869,,,,
2013-09-01,0.005408345100000001,,,,
2013-10-01,0.0049296942,71.86587,0.035,70.66823,0.3365920420823826
2013-11-01,0.0048963774,,,,
2013-12-01,0.0041829993,,,,
2014-01-01,0.0068063671,73.51665,-0.013999999999999999,71.86587,0.49609076387512885
2014-02-01,0.005086773100000001,,,,
2014-03-01,0.0058045318,,,,
2014-04-01,0.0070222209999999995,71.76422,0.053,73.51665,0.4902660621839031
2014-05-01,0.0062685415,,,,
2014-06-01,0.0062452944,,,,
2014-07-01,0.0059099495,71.80771,0.05,71.76422,0.4039265867684666
2014-08-01,0.006494057,,,,
2014-09-01,0.0058085993,,,,
2014-10-01,0.007009647,72.70969,0.02,71.80771,0.49347715586114704
2014-11-01,0.0071330026000000005,,,,
2014-12-01,0.0038472537,,,,
2015-01-01,0.007099428,72.46747,0.036000000000000004,72.70969,0.49825985430243236
2015-02-01,0.0053838038,,,,
2015-03-01,0.0075170542,,,,
2015-04-01,0.0041032252,71.5273,0.025,72.46747,0.29009790154560394
2015-05-01,0.005339214399999999,,,,
2015-06-01,0.005537778,,,,
2015-07-01,0.006670749,71.31846,0.016,71.5273,0.46962663872805116
2015-08-01,0.0054830556,,,,
2015-09-01,0.0051245991,,,,
2015-10-01,0.0052877171,74.31389,0.006999999999999999,71.31846,0.3744904076342265
2015-11-01,0.006662057,,,,
2015-12-01,0.0064742223,,,,
2016-01-01,0.0073450597,75.19061,0.023,74.31389,0.5335678969591721
2016-02-01,0.005387380000000001,,,,
2016-03-01,0.0055140742,,,,
2016-04-01,0.0034527268,74.48445,0.013000000000000001,75.19061,0.25628098149590134
2016-05-01,0.0041364983,,,,
2016-06-01,0.0051909852000000005,,,,
2016-07-01,0.0016534694,75.04378,0.028999999999999998,74.48445,0.11968684047699708
2016-08-01,0.0022683746,,,,
2016-09-01,0.002160743,,,,
2016-10-01,0.0028979681000000004,75.64063,0.022000000000000002,75.04378,0.21279303379982192
2016-11-01,0.0034660933,,,,
2016-12-01,0.0070045658,,,,
2017-01-01,0.0072565107,74.55599,0.02,75.64063,0.5381245499507264
2017-02-01,0.0077438158000000005,,,,
2017-03-01,0.0091650302,,,,
2017-04-01,0.0076575378,73.92953,0.023,74.55599,0.5580794835204517
2017-05-01,0.007764088,,,,
2017-06-01,0.0073611135000000005,,,,
2017-07-01,0.007250161200000001,74.55506,0.032,73.92953,0.5193808235855001
2017-08-01,0.0067086016,,,,
2017-09-01,0.0056521264000000005,,,,
2017-10-01,0.0072914351,73.97834,0.046,74.55506,0.5197068655512486
